city,total,first_,second_
adana,604533,355061,249472
adıyaman,134323,78503,55820
afyon,236602,135197,101405
ağrı,62582,42718,19864
amasya,151551,85487,66064
ankara,2026194,1184289,841905
antalya,874560,531312,343248
artvin,73893,40306,33587
aydın,497119,280576,216543
balıkesir,619448,349138,270310
bilecik,83513,47990,35523
bingöl,50086,30771,19315
bitlis,37939,23391,14548
bolu,130023,73374,56649
burdur,115534,65159,50375
bursa,933880,547140,386740
çanakkale,278146,157316,120830
çankırı,76993,43115,33878
çorum,208177,117693,90484
denizli,363339,205808,157531
diyarbakır,228322,136036,92286
edirne,211246,121116,90130
elazığ,169926,99096,70830
erzincan,81669,47340,34329
erzurum,179621,103076,76545
eskişehir,369684,212572,157112
gaziantep,345802,205456,140346
giresun,214716,120476,94240
gümüşhane,40242,23042,17200
hakkari,21736,14445,7291
hatay,370333,224785,145548
isparta,185797,105335,80462
mersin,598368,346040,252328
istanbul,4131001,2470833,1660168
izmir,1712220,994711,717509
kars,63682,37285,26397
kastamonu,171715,95478,76237
kayseri,423504,244830,178674
kırklareli,170149,97887,72262
kırşehir,92362,52911,39451
kocaeli,548427,320795,227632
konya,650910,370331,280579
kütahya,212350,120269,92081
malatya,252627,144603,108024
manisa,484310,280082,204228
kahramanmaraş,252870,146054,106816
mardin,87175,53096,34079
muğla,475537,276772,198765
muş,48646,29099,19547
nevşehir,99530,58743,40787
niğde,101716,58519,43197
ordu,319316,184099,135217
rize,132491,75825,56666
sakarya,315780,179668,136112
samsun,505293,290766,214527
siirt,31888,19902,11986
sinop,106809,60421,46388
sivas,209743,118942,90801
tekirdağ,352182,207891,144291
tokat,237526,134739,102787
trabzon,319296,179648,139648
tunceli,37679,22595,15084
şanlıurfa,189688,115228,74460
uşak,137447,79554,57893
van,154338,97643,56695
yozgat,138805,78653,60152
zonguldak,239179,136851,102328
aksaray,107139,62177,44962
bayburt,21294,12322,8972
karaman,83929,48069,35860
kırıkkale,101622,59818,41804
batman,82664,50990,31674
şırnak,38741,25113,13628
bartın,83721,47925,35796
ardahan,30922,18123,12799
iğdır,34076,20560,13516
yalova,113178,65199,47979
karabük,96532,55804,40728
kilis,30273,18172,12101
osmaniye,164137,94696,69441
düzce,126086,72983,53103
