city,total,first_,second_
adana,832194,497861,334333
adıyaman,191010,118016,72994
afyon,333624,203069,130555
ağrı,104649,69581,35068
amasya,207945,125414,82531
ankara,3045754,1875119,1170635
antalya,1222068,726233,495835
artvin,99314,58469,40845
aydın,682474,407061,275413
balıkesir,829728,486237,343491
bilecik,120364,73710,46654
bingöl,72222,43436,28786
bitlis,57052,35066,21986
bolu,183300,111889,71411
burdur,157471,94557,62914
bursa,1349441,835279,514162
çanakkale,379153,225125,154028
çankırı,104532,61139,43393
çorum,290208,175314,114894
denizli,525276,325315,199961
diyarbakır,335166,208689,126477
edirne,282971,165103,117868
elazığ,236883,141570,95313
erzincan,113887,67766,46121
erzurum,250690,150623,100067
eskişehir,530398,326198,204200
gaziantep,520965,328172,192793
giresun,274783,157116,117667
gümüşhane,54739,31821,22918
hakkari,41850,29141,12709
hatay,550907,341015,209892
isparta,256014,154287,101727
mersin,836191,504438,331753
istanbul,6230581,3956083,2274498
izmir,2440058,1485807,954251
kars,93317,57619,35698
kastamonu,228291,133656,94635
kayseri,597410,363194,234216
kırklareli,234973,139971,95002
kırşehir,130797,78744,52053
kocaeli,805959,504635,301324
konya,896788,543676,353112
kütahya,299193,183126,116067
malatya,349754,209965,139789
manisa,708597,441526,267071
kahramanmaraş,358344,218497,139847
mardin,132457,83213,49244
muğla,677852,413106,264746
muş,71298,44062,27236
nevşehir,145869,90011,55858
niğde,145086,88219,56867
ordu,439271,261118,178153
rize,178432,104655,73777
sakarya,433490,260241,173249
samsun,666004,391988,274016
siirt,50058,31782,18276
sinop,140028,81492,58536
sivas,294308,176139,118169
tekirdağ,488131,291545,196586
tokat,320909,189764,131145
trabzon,430290,254891,175399
tunceli,54241,32205,22036
şanlıurfa,282255,180748,101507
uşak,193032,116578,76454
van,229068,146911,82157
yozgat,188360,111000,77360
zonguldak,331580,199659,131921
aksaray,148330,89365,58965
bayburt,29822,17663,12159
karaman,115200,69225,45975
kırıkkale,138662,82621,56041
batman,120722,75064,45658
şırnak,68907,47489,21418
bartın,110645,64269,46376
ardahan,42922,25647,17275
iğdır,50646,31675,18971
yalova,158287,95139,63148
karabük,132850,78858,53992
kilis,46555,29870,16685
osmaniye,227056,135676,91380
düzce,169620,99954,69666
