city,total,first_,second_
adana,973771,630285,343486
adıyaman,215490,140084,75406
afyon,377017,242161,134856
ağrı,116312,78544,37768
amasya,230128,145523,84605
ankara,3426910,2229260,1197650
antalya,1383123,872539,510584
artvin,110391,68421,41970
aydın,754141,471401,282740
balıkesir,918487,567282,351205
bilecik,140828,92912,47916
bingöl,77705,48061,29644
bitlis,63676,40848,22828
bolu,205354,132087,73267
burdur,174641,109980,64661
bursa,1567716,1036241,531475
çanakkale,417388,259943,157445
çankırı,114893,70229,44664
çorum,320418,202411,118007
denizli,594715,388332,206383
diyarbakır,377352,247192,130160
edirne,314796,194341,120455
elazığ,260953,162822,98131
erzincan,125619,78316,47303
erzurum,274518,171134,103384
eskişehir,599484,389628,209856
gaziantep,622658,423485,199173
giresun,301152,180498,120654
gümüşhane,59454,35682,23772
hakkari,48556,35266,13290
hatay,632737,416559,216178
isparta,281094,176596,104498
mersin,939946,599988,339958
istanbul,7364274,5021524,2342750
izmir,2763406,1785397,978009
kars,103062,66378,36684
kastamonu,249946,152798,97148
kayseri,676914,435258,241656
kırklareli,264105,167370,96735
kırşehir,144444,91081,53363
kocaeli,951730,640823,310907
konya,992762,630183,362579
kütahya,335870,216068,119802
malatya,387741,244201,143540
manisa,812310,537882,274428
kahramanmaraş,409189,264844,144345
mardin,149511,98178,51333
muğla,762371,489017,273354
muş,78155,50115,28040
nevşehir,161779,104007,57772
niğde,161156,102849,58307
ordu,481794,299289,182505
rize,197905,121934,75971
sakarya,505335,326203,179132
samsun,745887,464392,281495
siirt,55961,37061,18900
sinop,151892,91683,60209
sivas,328909,206921,121988
tekirdağ,574549,372402,202147
tokat,347405,213235,134170
trabzon,471810,291272,180538
tunceli,58570,35968,22602
şanlıurfa,317345,212031,105314
uşak,218826,140133,78693
van,264725,179272,85453
yozgat,208278,128549,79729
zonguldak,369117,233468,135649
aksaray,167040,106246,60794
bayburt,32472,19857,12615
karaman,127125,79902,47223
kırıkkale,155921,97480,58441
batman,136163,89245,46918
şırnak,77404,54518,22886
bartın,126451,78674,47777
ardahan,46969,29166,17803
iğdır,55700,35949,19751
yalova,175184,110718,64466
karabük,146752,91201,55551
kilis,52563,35150,17413
osmaniye,255062,161530,93532
düzce,197667,125933,71734
