city,total,first_,second_
adana,543988,329370,214618
adıyaman,124401,73703,50698
afyon,211261,124257,87004
ağrı,52606,35326,17280
amasya,136536,80396,56140
ankara,1785218,1105321,679897
antalya,767822,487013,280809
artvin,66643,37826,28817
aydın,441013,260238,180775
balıkesir,556911,330774,226137
bilecik,74152,44798,29354
bingöl,44732,28784,15948
bitlis,34269,21789,12480
bolu,118036,68548,49488
burdur,104145,60772,43373
bursa,823587,497050,326537
çanakkale,249003,147468,101535
çankırı,68791,40382,28409
çorum,188508,111192,77316
denizli,325166,191759,133407
diyarbakır,207382,127959,79423
edirne,186604,112344,74260
elazığ,153412,93149,60263
erzincan,73305,44546,28759
erzurum,163683,97126,66557
eskişehir,328752,199798,128954
gaziantep,309914,189571,120343
giresun,190567,111618,78949
gümüşhane,36026,21533,14493
hakkari,19287,13072,6215
hatay,338383,210102,128281
isparta,167917,98334,69583
mersin,533542,322016,211526
istanbul,3633260,2279186,1354074
izmir,1513356,920114,593242
kars,57484,34792,22692
kastamonu,154676,89959,64717
kayseri,379174,230486,148688
kırklareli,152282,91406,60876
kırşehir,81546,49020,32526
kocaeli,485187,296506,188681
konya,584009,345081,238928
kütahya,189316,110836,78480
malatya,228598,135137,93461
manisa,434790,261643,173147
kahramanmaraş,228595,136330,92265
mardin,78911,49037,29874
muğla,417251,252552,164699
muş,44397,27503,16894
nevşehir,90686,55430,35256
niğde,91349,54986,36363
ordu,281464,169995,111469
rize,118034,70265,47769
sakarya,280116,166942,113174
samsun,447805,267013,180792
siirt,28721,18432,10289
sinop,95779,56846,38933
sivas,187775,111635,76140
tekirdağ,311429,194209,117220
tokat,213850,125574,88276
trabzon,285406,166254,119152
tunceli,33783,21411,12372
şanlıurfa,174086,107208,66878
uşak,124162,73768,50394
van,138375,87137,51238
yozgat,124593,73863,50730
zonguldak,211802,126084,85718
aksaray,96604,58066,38538
bayburt,18882,11328,7554
karaman,75183,44835,30348
kırıkkale,89209,53981,35228
batman,75474,47219,28255
şırnak,33093,22509,10584
bartın,74868,44698,30170
ardahan,27363,16398,10965
iğdır,30901,18839,12062
yalova,100513,61394,39119
karabük,86510,51892,34618
kilis,27021,16399,10622
osmaniye,146053,88961,57092
düzce,111792,67257,44535
